,title,genre,year,country,rate,description
63,Падение Империи (2024),"Триллер, Драма, Боевик",2024,США,7.3,"Кирстен Данст, Вагнер Моура и Кейли Спейни в экшен-триллере от студии A24. В недалеком будущем в США разгорается гражданская война. Объединенные силы Запада совсем скоро должны взять Вашингтон. В центре сюжета – пара прославленных военных корреспондентов, легенда журналистики и только начавшая свой профессиональный путь девушка-фотограф. Вместе они спешат добраться до столицы в надежде взять интервью у главы государства, пока он не попал в руки противника."
64,Собиратель душ,"Триллер, Детектив, Ужасы",2024,Канада,6.9,"Обезумевший Николас Кейдж играет в кошки-мышки с Майкой Монро. Агент ФБР Ли Харпер обладает уникальной интуицией, помогающей ей раскрывать самые глухие дела. Именно поэтому ей с легкостью доверяют одно из сложнейших: долгие годы по округе происходят загадочные убийства семей, в которых душегубом всегда выступает отец. При этом с этими преступлениями как-то связан маньяк по прозвищу «Длинноногий», который любит оставлять зашифрованные послания. Ли берется за дело и нападает на след, который неожиданно приводит девушку к собственному прошлому."
65,Мой Хатико,Драма,2023,Китай,8.9,"Чунцин, начало нулевых. Профессор Чэнь отправляется в командировку с коллегами и находит на улице брошенного щенка. Попытка пристроить пса оборачивается провалом, и мужчина возвращается домой с Хатико. Супруга Чэня на дух не переносит собак, но между профессором и его питомцем устанавливается нерушимая связь."
66,Руки Вверх!,"Музыка, Биография",2024,Россия,8.7,"Сергей Жуков, ставший кумиром подростков 90-х, попадает в больницу с осложнением болезни. Артиста охватывает ностальгия по прошлому, кожаным косухам и аудиокассетам, спортивным костюмам и нелепым стрижкам. Тогда Сережа ходил по дискотекам и только мечтал создать свою группу. Устроившись на радио, он знакомится с шебутным Лехой, а вскоре парни отправляются на первые гастроли."
67,Триггер. Фильм,Драма,2023,Россия,8.1,"Возлюбленная ушла, бывшая жена осуждена за убийство, отец страдает от неизлечимой болезни. Переживая тяжелейший кризис, Артем бросает работу и вместе с Кирюшей уезжает в город, где когда-то был счастлив. Он устраивается барменом и неожиданно знакомится с Майей. По иронии судьбы девушка оказывается психологом и вынуждает Стрелецкого взглянуть в глаза страхам."
68,Рождение легенд,"Драма, Биография, Музыка",2023,США,7.4,"Талантливый продюсер Нил Богарт пытается пробиться на вершину жестокой и конкурентной музыкальной индустрии. Он залезает в долги и основывает звукозаписывающую компанию Casablanca Records. Созданный лейбл начинает сотрудничество с Донной Саммер, группой Kiss и другими одаренными исполнителями и коллективами, чтобы переписать историю и изменить музыкальную индустрию раз и навсегда."
69,Великая ирония,"Драма, Комедия, Триллер, Мелодрама",2023,США,7.7,"Карьера парижанки Фанни Моро складывается прекрасно, а вот ее супружеская жизнь далека от идеала. Однажды молодая женщина встречает на улице бывшего одноклассника, который был от нее без ума в школьные годы. Она решается на тайную любовную интрижку со старым знакомым, однако ревнивый муж чувствует неладное. Запретный роман Фанни постепенно накаляется, предвещая ей большую беду."
70,Вася не в себе,"Комедия, Фантастика",2023,Россия,8.5,"Жизнь успешного предпринимателя Василия Кузина складывается идеально. У него есть красивая возлюбленная, роскошная квартира и развивающийся строительный бизнес. Омрачают картину лишь приезжие рабочие, которых он раз за разом обманывает и считает за людей второго сорта. За это судьба решает сыграть с Василием злую шутку. Бизнесмен попадает в аварию, просыпается в больнице и неожиданно осознает, что превратился в одного из тех самых гастарбайтеров. Удастся ли Васе исправиться и вернуть все на свои места?"
71,Бар «МоскваЧики»,Комедия,2024,Россия,8.1,"Три москвички едут в Питер, чтобы отдохнуть от столичной суеты. В разгар веселья девушки неожиданно решают купить бар на последние сбережения. Теперь новоиспеченным владелицам нужно научиться вести бизнес, наладить работу заведения и решить проблемы с налоговой. Вдобавок к этому девушкам мешают три симпатичных соседа, которые явно что-то скрывают. Смогут ли подруги покорить северную столицу или вернутся в Москву ни с чем?"
72,Догмен,Боевик,2023,Франция,8.4,"Еще в детстве Дуглас осознал, что ему ближе четвероногие друзья, чем собственная семья. Во время одной из ссор с отцом-тираном мальчик получил травму, которая навсегда изменила его жизнь. Спустя десятилетия Дуглас живет на заброшенной территории в окружении стаи собак. Они понимают друг друга без слов, и собаки готовы выполнить любое его указание. Дагу плевать на других людей, поэтому он легко нарушает закон и ищет себя. Все меняется, когда он сталкивается с местной группировкой, пытающейся захватить город. И собаки оказываются единственными, кто может спасти Дугласа."
73,Братья,"Комедия, Приключения",2024,Россия,7.4,"Славик, дамский угодник и бездельник, узнает, что смертельно болен. Спасти ему жизнь может только родственник-донор. Им оказывается неожиданно нашедшийся брат — не кто иной, как сам король эстрады Филипп Киркоров! Славик готов на любые авантюры ради знакомства с родственником, которые в итоге приводят новоиспеченных братьев в дикий лес. Впереди обоих ждут экстремальное выживание, знакомство с местными язычниками и долгий, но очень интересный путь домой."
74,Год рождения,"Комедия, Фэнтези",2023,Россия,8.0,"Мечтательный парень Филипп фанатеет от распавшейся панк-группы «Яичный свет». Он хочет устроить крупнейший музыкальный фестиваль в родном городе Металлогорске. Смелые идеи отходят на второй план, когда Филипп знакомится с обаятельной девушкой Мариной. Они влюбляются и строят совместные планы на будущее. Филиппу приходится все больше времени уделять бытовым вопросам, а мечты о фестивале рискуют так никогда и не осуществиться, но в это время в городе начинают происходить удивительные события."
75,Общага,Драма,2021,Россия,7.4,"1984 год, Свердловск. В студенческой общаге первокурсник Забела, поэт Игорь и девушки Света и Нелли лавируют между внутренней свободой и жестким распорядком общежития, дружат, влюбляются и веселятся. Жизнь друзей радикально меняется после внезапного самоубийства одной из студенток."
76,Ника,"Драма, Биография",2022,Россия,7.7,"Поэтесса Ника Турбина приобрела известность еще в самом детстве. С 7 лет она начала ездить на гастроли по Советскому Союзу и собирать полные залы любителей поэзии. Ее стихи трогали своей недетской грустью и пронзительностью строк. К 27 годам девушку настигает творческий кризис, и она перестает писать. Ника стремится разобраться в себе, пытаясь понять, куда исчез ее голос и сможет ли она наладить отношения с матерью. Она все больше увязает в своих сомнениях и глушит боль алкоголем. Неожиданное знакомство с Иваном помогает Нике найти свое вдохновение и дарит надежду на благополучие."
77,Батя,Комедия,2021,Россия,9.0,"В детстве Макс научился быстро считать на кладбище, на всю жизнь запомнил «крапивку» на руке и не сквернословил, поскольку отец однажды вымыл ему рот с мылом! Когда у Макса рождаются дети, он понимает, что такие методы воспитания были весьма специфическими. Отправляясь на 70-летний юбилей отца, Макс вспоминает свое детство и пытается понять, почему его батя был именно таким – закрытым и в чем-то суровым."
78,Тёща,Комедия,2023,Россия,7.6,"Ольга Николаевна привыкла держать все под контролем как на работе, так и в личной жизни. В ее четко выстроенной системе есть одно лишнее звено – нелюбимый зять Виктор. В канун Нового года их взаимная неприязнь достигает точки кипения. Ольге Николаевне и Виктору необходимо уладить разногласия, пока всеми любимый праздник не превратился для их семьи в катастрофу."
79,Праздники (2023),Комедия,2023,Россия,8.0,"Наталье Пыжовой в жизни повезло: у нее прекрасные взрослые дочери, любящий муж и дружная семья. Для полного счастья она мечтает только выдать дочерей замуж. Но все рушится в канун 50-летнего юбилея Натальи, когда женщина узнает об измене мужа и понимает, что и у дочерей не все гладко в личной жизни. На празднике семейство ждет серьезная проверка на прочность, которая или разрушит семью до основания, или же закалит ее."
80,Правда,"Драма, Триллер",2024,Россия,7.4,"В маленьком городке пропадают дети, и 5-летняя Маша стала уже шестой жертвой. У следствия не хватает улик, зато есть один идеальный подозреваемый – Женя, недавно вышедший из тюрьмы. Отсидев два года, парень теперь пытается привыкнуть к новой жизни без друзей, любимой и работы. Он быстро попадает в поле зрения полиции, а ситуацию осложняет тот факт, что он последний, кто видел Машу и кто знает правду. Вот только за нее он может снова поплатиться свободой."
81,Игра королевы,"Драма, Триллер, История",2023,Великобритания,8.3,"Казнивший двух супруг и дважды разведенный Генрих VIII женится в шестой раз. Избранницей пожилого короля-параноика становится Екатерина Парр, протестантка с острым умом и выдающейся силой духа. Генрих всех вокруг подозревает в измене, а Екатерина начинает проникаться разгорающимся в народе движением за освобождение."
82,По Фрейду,Драма,2023,Ирландия,8.4,"3 сентября 1939 года Великобритания объявляет войну Германии. Два признанных гения своего века, Зигмунд Фрейд и Клайв С. Льюис, разворачивают дискуссию о возможности существования Бога. Первый умирает от рака, а второго мучают кошмары о надвигающемся мраке. К чему приведет их беседа?"
83,Арахисовый сокол,"Драма, Комедия, Спорт, Приключения",2019,США,8.5,"Зак видел настоящую жизнь только по телевизору: у него синдром Дауна и живет он в лечебнице. Вдруг он решает стать профессиональным рестлером и, ведомый своей мечтой, посреди ночи тайком сбегает в одних трусах и отправляется в путь. Встретив беглого преступника Тайлера, Зак неожиданно для себя находит спутника, тренера и настоящего друга. К ним присоединяется и девушка Элеонор – работница лечебницы, которая должна найти и вернуть Зака. Вместе они – три неудачника со своими проблемами – скрываются от преследования, ищут себя и Бога, живут в палатке и помогают одному особенному парню исполнить его мечту."
84,Любовники (2022),Комедия,2022,Россия,8.2,"Несколько парней пробуют проучить корыстных женщин. В надежде разобраться с личными проблемами Саша, Леша и Паша решаются пойти на групповую терапию для мужчин, которые настрадались от любовниц. У них рождается гениальная идея: они планируют помочь товарищам по несчастью, разоблачая хитрых и расчетливых женщин. Правда, они не очень разбираются в отношениях, так что не всегда могут помочь даже самим себе."
85,Обнаженная муза Пьера Боннара,"Мелодрама, Драма, Биография",2023,Франция,7.3,"Биографическая мелодрама со звездами «Молодого Папы» и «Нимфоманки». Париж, 1893 год. В студию перспективного художника Пьера Боннара приходит загадочная натурщица Марта. Между ними с первого взгляда вспыхивает страсть, которая перерастает в роман. Со временем Марта становится не просто возлюбленной, а главной музой Боннара. Однако их любовь вынуждена пройти испытания: мировые потрясения XX века, ухудшение здоровья Марты, а также появление в жизни художника молоденькой девушки Рене."
86,Бык,"Драма, Криминал",2019,Россия,7.2,"90-е, время расцвета преступности. Молодой бандит Антон Быков по прозвищу Бык пытается заработать на жизнь для себя и своей семьи нечестным трудом. После очередной разборки он попадает в отделение милиции, откуда его освобождает криминальный авторитет. Скоро он просит Антона вернуть долг, а для этого парню придется выполнить одно крайне рискованное поручение."
87,Подростки. Первая любовь,Мелодрама,2024,Россия,8.3,"Лето, 90-е. Старшеклассник Олег промышляет мелким воровством в надежде скопить денег на собственную машину. А еще он влюблен в Олю, которая месяц назад перешла в его школу. Отношениям подростков мешает ее отец: мужчина контролирует каждый шаг дочери и не считает Олега достойным парнем. К тому же, за сердце девочки намерен бороться местный богач Пижон. Пока судьба вставляет палки в колеса, а взрослые учат жизни, юная пара мечтает улететь вдаль с соседнего аэродрома. Смогут ли они пройти все испытания или первая любовь останется в прошлом?"
88,Честный развод 2,"Комедия, Мелодрама",2022,Россия,9.3,"Гене удается достичь большого успеха на юмористическом поприще, а Милана становится его женой и менеджером. Широкое признание неожиданно кружит голову неопытному артисту стендапа и становится помехой для личных отношений с возлюбленной. Будущее пары оказывается под угрозой, поэтому Гена идет на решительные меры. Он пытается помочь Милане воплотить в жизнь ее заветную мечту – стать певицей. Сможет ли Гена реализовать свой авантюрный план или только обострит супружеский конфликт?"
89,Бендер: Золото империи,"Комедия, Драма, Приключения",2021,Россия,8.5,"Бесценный жезл ускользает из рук подельников и попадает к Нестору Махно. Он убежден, что в округе спрятаны и другие драгоценные реликвии, и ввязывается в погоню за мифическими сокровищами. Осе вместе со своим наставником предстоит превзойти себя, чтобы не угодить в ловушку и добыть жезл. А заодно и восстановить доверие прекрасной девушки, которая разочаровалась в Осе и собирается выйти замуж за другого..."
90,Нюрнберг. Многомерность зла,Драма,2025,Россия,8.4,"Психологическая драма о разоблачении одного из самых массовых убийц в истории человечества. Известный советский психиатр Евгений Краснушкин задействует уникальную методику, чтобы получить от основателя и коменданта концлагеря Освенцим Рудольфа Хесса подробную информацию о холокосте и уничтожении советского народа. Выдающийся специалист в своем деле выводит на чистую воду руководство и служителей Третьего рейха, а на примере Хесса разоблачает психотип хладнокровных и безжалостных последователей этого преступного режима."
91,Финт Боброва,"Документальный, Спорт, Биография",2023,Россия,8.4,"Всеволод Михайлович Бобров — единственный атлет, который выступал и на летних, и на зимних Олимпийских играх. В обоих случаях он был капитаном национальной сборной. Авторы проекта покажут историю его развития в спорте: от начала карьеры к победе на Олимпиаде и становлению тренером."
92,Война и музыка,"Драма, История, Военный",2025,Россия,8.7,"Дружба, отвага и музыка в драме Сарика Андреасяна. Война меняет жизни троих парней, которые отправляются на фронт, чтобы защитить свой дом, родных и близких. Справиться с потрясениями времени и не опускать руки друзьям помогает музыка. Они берут с собой инструменты и начинают играть, чтобы поддержать моральный дух товарищей и создать лейтмотив Победы."
93,У людей так бывает,Мелодрама,2023,Россия,7.6,"Знакомства и расставания, верность и измены, рождение и смерть – в этом постоянном круговороте жизненных событий появляются яркие истории любви. Судьбы их героев удивительным образом пересекаются и невольно влияют друг на друга. Непредсказуемые случайности и осознанные решения позволят этим людям понять ценность и силу прекрасного чувства любви."
94,Группа крови,"Драма, Военный",2025,Россия,8.9,"Основано на реальных событиях. Ноябрь, 1943 год. В бывшем пионерлагере под Ленинградом детей продолжает встречать приветственная надпись «Добро пожаловать», но добра здесь больше нет. Теперь в этом месте детский приют, куда немцы партиями свозят советских сирот. Их держат в невыносимых условиях: холод, голод, принудительный труд и жестокие наказания за малейшее неповиновение. Но самое страшное: детей до последней капли крови используют как доноров для раненых немецких солдат. Несмотря на ужасы происходящего, юным героям удается найти в себе силы и смелость, чтобы сплотиться и решиться на побег."
95,Брат навсегда,Документальный,2025,Россия,8.8,"Авторы проекта поделятся редкими архивными материалами и покажут малоизвестные сцены, которые не вошли в финальную версию фильмов. Съемки проходили не только в Москве и Санкт-Петербурге, но также в Чикаго и Нью-Йорке. Это масштабное исследование феномена дилогии Алексея Балабанова и его культурного влияния на страну и мировой кинематограф. Как «Брату» удалось объединить несколько поколений россиян?"
96,Эрнест и Селестина: Новые приключения,"Мультфильм, Приключения, Семейный",2022,Люксембург,9.0,"Эрнест и Селестина готовятся к новому приключению. Лучшие друзья хотят посетить родину Эрнеста – чудесную Тарабарию. Медведь рассказывает мышке, что в этой удивительной стране всегда царит праздник, а кругом играет музыка. Когда друзья прибывают в Тарабарию, они узнают, как сильно изменились эти края. В стране ввели абсурдные музыкальные запреты, за нарушение которых можно попасть в тюрьму. Эрнест и Селестина вместе с новыми друзьями сделают все возможное, чтобы спасти свободу творчества и вернуть радость в страну медведей."
97,Джон Уик 3,"Боевик, Триллер, Криминал",2019,США,8.0,В предыдущей части неутомимый убийца по прозвищу Баба-Яга наворотил дел и теперь вынужден скрываться от возмездия: Уик осквернил смертью неприкосновенный отель «Континенталь». За голову нарушившего кодекс тайной гильдии ассасинов назначили награду в 14 миллионов долларов. Бесчисленный легион брутальных наемников-профессионалов со всего мира выдвинулся прикончить бунтаря. Удастся ли им казнить Джона?
98,Контакты (2024),"Драма, Фантастика",2024,Россия,6.5,"На Землю прибывают инопланетяне, которых люди называют Виталиками. Пришельцы вырабатывают таинственное вещество – прак. Намерения инопланетян и свойства этого вещества остаются для людей загадкой. Однако медсестра Нина решает рискнуть и использовать прак для лечения больного отца. Девушка выходит на контакт с одним из Виталиков, и это знакомство раскрывает перед ней истинную причину прибытия инопланетян."
99,Иллюзия обмана,"Триллер, Детектив, Приключения, Боевик",2013,США,8.9,Миллионер Артур Тресслер собирает группу талантливых иллюзионистов. Фокусники объединяются в квартет «Четыре всадника» и устраивают грандиозные шоу. Во время финального выступления они проворачивают на глазах зрителей дерзкое ограбление крупного банка. Сможет ли ФБР доказать их причастность к преступлению?
100,Ла-Ла Ленд,"Мюзикл, Драма, Мелодрама",2016,США,9.0,"Фильм стал рекордсменом премии «Золотой глобус», победив во всех семи номинациях, и взял шесть «Оскаров». Начинающая актриса Миа и джазовый пианист Себастьян живут в «Городе ангелов» и постоянно сталкиваются при неудачных обстоятельствах. Они вздорят из-за разных пустяков и неожиданно влюбляются друг в друга. Миа и Себастьян полны амбиций и стремления найти себя в жизни. Куда приведут их мечты?"
101,Страна Саша,Мелодрама,2022,Россия,6.7,"Семнадцатилетний Саша чувствует себя растерянным. Он рос без отца, и в этом видит источник всех проблем. Герой знакомится с нерешительной ровесницей Женей, похожей на него. Первая любовь окрыляет одиночек и помогает преодолевать душевные травмы. Но что ждет их в конце лета?"
102,Асфальтовое солнце,"Мелодрама, Комедия",2022,Россия,7.1,"80-е, небольшой городок у моря. Пятнадцатилетний Артем застыл на пороге взрослой жизни. Перед тем как сделать последний шаг к ней, он проводит последнее лето в обществе друга и роликовой доски, с которой не расстается. У Артема есть лишь один шанс, чтобы победить на соревнованиях и произвести впечатление на девушку, влюбленную в другого."
103,Сердце Пармы,"Драма, Фэнтези, История",2022,Россия,7.5,"Русь, XV век. Князь Чердыни Михаил женится на ведьме-ламие Тиче, хотя их любовь и кажется окружающим запретной. Вскоре правитель оказывается между двух огней. С одной стороны, на него наседает Москва, обеспокоенная усилением позиций Перми Великой. С другой – давят местные племена, желающие прогнать русичей. Михаилу предстоит дать бой врагам, чтобы спасти свои земли и уберечь любовь всей жизни."
104,Агнец,"Драма, Фэнтези, Ужасы",2021,Швеция,6.8,"Немолодая пара фермеров живет вдали от людских глаз. Когда одна из овец приносит в дом человекоподобного ягненка, Мария и Ингвар принимают его как дар божий. Назвав диковинное существо Адой в честь мертворожденной дочери, супруги проникаются к чаду глубокими чувствами. Их дом вновь наполняется любовью, но прибытие брата Ингвара портит обстановку в семье."
105,Сердцеед,Комедия,2025,Россия,7.4,"Легкая комедия со звездами «Кухни» и «Няни Оксаны». Яркая и амбициозная Света давно оставила деревенскую жизнь ради покорения столицы, но на летние выходные возвращается к семье. Прогуливаясь по родным местам, она встречает свою первую любовь — тракториста Сашку. Между молодыми людьми вновь вспыхивает страсть. Но сердца влюбленных не свободны: Сашка привязан к доярке Маше, а к Свете из Москвы вот-вот должен приехать жених Серж. Неожиданно любовный треугольник становится еще запутаннее, когда в историю вмешивается продавщица Люба."
106,Точка кипения,"Триллер, Драма",2021,Великобритания,7.8,"Шеф-повар Энди опаздывает в престижный ресторан Лондона на самую важную смену года. Его подчиненные собираются на кухне и изрядно нервничают. В этот вечер все идет не по плану: сперва команда узнает, что у ресторана понизили рейтинг, затем заявляется проверка, а потом и вовсе приходит инвестор, требующий немедленно вернуть вложенные деньги. Сможет ли Энди справиться с ворохом личных и профессиональных проблем, чтобы сохранить свой бизнес?"
107,Легенды Орлёнка,"Комедия, Фэнтези, Семейный",2022,Россия,7.9,"Маша приезжает в легендарный лагерь «Орленок» на каникулы и находит там новых друзей. Во время игры ребята случайно пробуждают одного из семи каменных старцев, который рассказывает им о древних мифах и битве добра со злом. Теперь детям предстоит пройти древний квест, чтобы узнать тайну семи легенд и победить злую колдунью Эль."
108,Мой пес Руни,"Комедия, Драма",2023,Южная Корея,8.0,"Мин-су обожает своего пса и собирается жениться на девушке своей мечты. Внезапно невеста признается, что у нее аллергия на собак. Лучший друг и брат предлагают Мин-су отменить помолвку, но он отказывается. Тогда троица начинает поиски нового дома для Руни, а все откликнувшиеся на объявление оказываются со странностями..."
109,Метро,"Триллер, Драма",2013,Россия,8.8,"Масштабная стройка в центре столицы приводит к возникновению трещины в одном из тоннелей метро. Вода из Москвы-реки начинает резко заполнять подземные ходы, и тысячи пассажиров оказываются в смертельной опасности. Среди попавших в беду людей — врач Гарин со своей дочерью Ксюшей, а также любовник его жены. Герой пытается побороть ненависть, вызволить дочь наружу и спасти потерпевших. Ему нужно выжить, чтобы вернуть свою семью и прежнюю жизнь."
110,Марс Экспресс,"Анимация, Фантастика, Детектив, Боевик",2023,Франция,7.6,"2200 год. Частный детектив Алин Руби и ее напарник-андроид Карлос Ривера получают от состоятельного бизнесмена задание разыскать печально известного хакера. Сыщики постепенно погружаются в подпольный мир столицы Марса. На красной планете они выясняют, что кто-то ведет опасную работу над искусственным интеллектом роботов. В ходе расследования сыщикам предстоит столкнуться с темными тайнами города, прогнившего от коррупции и скрывающего подпольные компьютерные лаборатории и сеть по торговле людьми."
111,Невероятные приключения Шурика,Комедия,2025,Россия,7.1,"Новогодняя музыкальная комедия по мотивам легендарных советских фильмов. Простой парень Шурик, сидя на лавке, делится со случайными прохожими своей историей любви со спортсменкой, комсомолкой и просто красавицей Ниной. С ней он познакомился будучи студентом, но вскоре потерял связь с любимой, улетев в космос. После Шурик искал Нину в «Институте статистики заказов с маркетплейсов», где собраны данные абсолютно всех женщин страны. И нашел — на Кавказе. Однако там попал под дурное влияние главы мафиозного клана дона Саахова и оказался в тюрьме. Но трудности не остановили Шурика. Ради любви он был готов преодолеть любые преграды, ведь когда-то Нина ему сказала: «Беги, Шурик! Беги!»."
112,Химера,"Фэнтези, Комедия, Мелодрама, Приключения",2023,Италия,8.0,"Италия, 80-е годы. Британский археолог Артур обладает особым даром чувствовать, что находится под землей. Он возвращается в родной сердцу город, чтобы найти вход в загробный мир и воссоединиться с возлюбленной. Артур присоединяется к расхитителям гробниц, которые используют его для поиска древних артефактов и сбычи сокровищ на черном рынке."
113,Адам и Ева,"Комедия, Фантастика, Мелодрама",2024,Россия,8.0,"Одним летним днем все население Москвы вместе с птицами и животными неожиданно исчезло. Возможно, на Земле остались лишь Марина и Виктор, но они совершенно не нравятся друг другу. Перед парой встают бытовые и экзистенциальные вопросы, а надежда найти людей вынуждает их вместе отправиться на Урал."
114,Проклятие «Зов могилы»,Ужасы,2024,Южная Корея,7.9,"Злобный дух начинает преследовать корейскую семью из Лос-Анджелеса. Испуганные родственники обращаются за помощью к специалистам по эзотерике. Шаманка с помощником, специалистом по фэншуй и владельцем похоронного бюро рекомендует как можно быстрее извлечь гроб с телом предка и, не открывая, кремировать. Все идет по плану, пока сотрудник морга, куда временно поместили останки, не вскрывает крышку саркофага — в этот момент мстительный дух, годами таившийся в могиле, вырывается на свободу, чтобы уничтожить своих потомков. Успеет ли семья победить его раньше, чем их род будет прерван?"
